title,full_text,generated
디올 (기업),"크리스찬 디올의 죽음 이후, 이브 생 로랑이 그의 후임 디자이너로서 사다리꼴 모양의 트라페즈 라인을 선보이며 큰 호평을 받았지만, 3년 뒤 파격적인 스타일로 인해 디올의 기존 고객을 잃고 해고되었다.",1
디올 (기업),"디올의 새 수석 디자이너는 1920년대 패션에서 영감을 받은 단순하고 우아한 디자인으로 유명한 마크 보한으로 선정되었고, 남성 컬렉션을 처음으로 기획했다.",1
디올 (기업),그는 디올에서 오랜 시간 일하며 오블리크 패턴과 CD 다이아몬드 패턴을 창조하고 여성 기성복 라인을 처음 선보인 디자이너로 유명하다.,1
디올 (기업),LVMH에 인수된 후 디올은 프랑스계가 아닌 이탈리아 디자이너 잔프랑코 페레가 처음으로 맡게 된다.,1
디올 (기업),"건축학 지식을 바탕으로 그는 컬렉션을 건축 설계도처럼 짜 맞춰, 전통적인 이미지를 벗어나 우아하고 현대적인 옷들을 선보였다.",1
디올 (기업),"존 찰스 갈리아노가 디자인 디렉터로 취임하면서 디올은 창조적이고 화려한 디자인으로 젊은 여성들에게 다시 사랑받게 되었고, 특히 신문지를 활용한 노숙자를 영감으로 한 옷은 디올의 부활을 이끌었다.",1
디올 (기업),디올은 패션계의 혁신가 에디 슬리먼을 영입하여 남성 패션에 큰 변화를 가져왔다.,1
디올 (기업),"디올은 질 샌더의 수석 디자이너였던 라프시몬슨을 영입하여 미니멀리즘을 통해 화려함을  stripping 하여 새로운 스타일을 선보였지만, 3년 6개월 만에 디올을 떠났다.",1
디올 (기업),"디올의 첫 여성 디자이너인 마리아 그라치아 치우리는 디올의 상징들을 디자인 요소로 활용하고 여성적인 색감의 옷감을 사용하며 컬렉션을 선보였고, 최근에는 펑크적인 감각을 더하기도 했다.",1
디올 (기업),"""퇴폐업소 앞 명품가방 든 여성"" 사진을 사용한 디올의 작품 전시가 성노동 묘사 논란으로 이어져 디올은 사과와 함께 전시를 중단하기로 결정했습니다.",1
고간 (후한),"그는 동래태수 고신의 증손이며, 사례교위 고사의 손자이자 촉군태수 고궁의 아들로, 황하 이북에서 활동한 대장군 원소의 외조카이자 병주를 장악하여 원가 분열 후 독립을 시도했지만 결국 실패한 인물이다.",1
고간 (후한),"191년, 원소는 순심, 신평, 곽도, 장도와 함께 세객으로 파견된  초평을 보내 기주를 다스리던 한복을 협박하여 기주를 강탈하게 만들었다.",1
고간 (후한),"건안 7년, 원소의 죽음 이후 조조가 공격을 감행하자 원상은 곽원을 하동군으로 보내 전투를 벌이게 하고 남흉노 호주천을 지원을 요청했다.",1
고간 (후한),"건안 9년, 원상이 패배하자 고간은 원상을 도와줄 기회를 놓치고 자립을 꾀하며 견초를 살해하려 했고, 견초의 항거와 업의 함락에도 독자적으로 공격을 감행했으나 실패, 결국 조조에게 항복하여 병주를 다시 맡게 되었다.",1
고간 (후한),"건안 11년(206년) 조조의 직접 공격으로 고간은 호관을 지키라는 명령을 내린 후 흉노에 구원을 요청했으나 거절당하고, 호관이 함락되자 3월에 남쪽으로 도망치다가 왕염에게 체포되어 살해당했다.",1
